mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.5142916838328043,0.2069388087963873,0.005655686060587565,0.0006410839395572615,0.12236203565420874,7,,8,8,171,0.5779972601681014,"{'model__learning_rate': np.float64(0.12236203565420874), 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 8, 'model__n_estimators': 171, 'model__subsample': np.float64(0.5779972601681014)}",13.011513870713635,10.875327353632194,11.57334142070633,11.820060881684052,0.8893728420480687,9,4.429337310265395,4.935661846627781,5.353740341781731,4.906246499558303,0.3779587174560748
1.5195279121398926,0.5169373744168333,0.009655396143595377,0.0006017297425633897,0.027425083650459835,7,,6,3,393,0.9162213204002109,"{'model__learning_rate': np.float64(0.027425083650459835), 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 6, 'model__min_samples_split': 3, 'model__n_estimators': 393, 'model__subsample': np.float64(0.9162213204002109)}",12.592443526862741,10.436561888160169,10.81029413661107,11.279766517211327,0.9406592181846292,10,3.872696639652459,4.996565069975784,5.757842740869853,4.875701483499365,0.7743384103589086
0.3583962917327881,0.12287169341619956,0.011511961619059244,0.0017319016859979682,0.07370173320348283,6,sqrt,1,13,363,0.762378215816119,"{'model__learning_rate': np.float64(0.07370173320348283), 'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 13, 'model__n_estimators': 363, 'model__subsample': np.float64(0.762378215816119)}",13.60775187066832,12.055126396001109,12.125073369706845,12.595983878792092,0.7159976707697635,6,3.5349943912726793,5.110278253237809,5.975304311189217,4.873525651899901,1.0102200987873762
0.23770968119303384,0.0996212227688152,0.0025506814320882163,6.302022390342479e-05,0.13958350559263474,3,,3,13,104,0.9916154429033941,"{'model__learning_rate': np.float64(0.13958350559263474), 'model__max_depth': 3, 'model__max_features': None, 'model__min_samples_leaf': 3, 'model__min_samples_split': 13, 'model__n_estimators': 104, 'model__subsample': np.float64(0.9916154429033941)}",13.920549040551485,12.40224574195619,14.138039355888951,13.486944712798875,0.7721201989011744,3,10.50372343691205,11.311711590117707,11.621319182133254,11.14558473638767,0.471135975476164
0.5747779210408529,0.22262114159005214,0.008319775263468424,0.0019000753399984766,0.150028867974394,7,,7,10,216,0.5066324805799333,"{'model__learning_rate': np.float64(0.150028867974394), 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 7, 'model__min_samples_split': 10, 'model__n_estimators': 216, 'model__subsample': np.float64(0.5066324805799333)}",14.097322894880465,11.951380425126517,11.89370851605558,12.647470612020854,1.0254707029323624,5,3.4554655336527618,4.118327637219058,4.5885161598931195,4.05410311025498,0.4647899330548776
0.35964330037434894,0.1233491397609969,0.013161977132161459,0.001301162361309101,0.29266052670545584,8,log2,9,3,389,0.6205127330130058,"{'model__learning_rate': np.float64(0.29266052670545584), 'model__max_depth': 8, 'model__max_features': 'log2', 'model__min_samples_leaf': 9, 'model__min_samples_split': 3, 'model__n_estimators': 389, 'model__subsample': np.float64(0.6205127330130058)}",16.453862318206664,13.875473911410499,13.493160747417944,14.607498992345036,1.3148723606382509,1,1.5394025815983152,1.7783306546104427,1.9618177994296853,1.7598503452128142,0.17294468371988195
0.09420315424601237,0.026716584380163496,0.003605365753173828,0.0006403318823068505,0.21497905564763747,6,sqrt,8,16,84,0.954660201039391,"{'model__learning_rate': np.float64(0.21497905564763747), 'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 16, 'model__n_estimators': 84, 'model__subsample': np.float64(0.954660201039391)}",13.27132469563213,11.354194456114419,12.044862259986887,12.223460470577812,0.7927883616022706,7,5.757275609522813,6.815663749617374,7.508541110553674,6.693826823231286,0.7201230872791239
0.26670265197753906,0.06738394606047862,0.007833083470662435,0.0014591885316279126,0.08763399448000507,6,log2,6,11,309,0.5924272277627636,"{'model__learning_rate': np.float64(0.08763399448000507), 'model__max_depth': 6, 'model__max_features': 'log2', 'model__min_samples_leaf': 6, 'model__min_samples_split': 11, 'model__n_estimators': 309, 'model__subsample': np.float64(0.5924272277627636)}",13.679915939775642,11.87850333807758,12.560614629457659,12.706344635770293,0.7426079119984537,4,5.354083726814969,6.443779333939621,6.853918896183301,6.217260652312631,0.6329083233576333
0.27340952555338544,0.0650655435632332,0.00490578015645345,0.00010170116735291569,0.30087538832936755,4,log2,4,15,400,0.9609371175115584,"{'model__learning_rate': np.float64(0.30087538832936755), 'model__max_depth': 4, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 15, 'model__n_estimators': 400, 'model__subsample': np.float64(0.9609371175115584)}",14.770167427343784,13.283802547437134,13.706549871429699,13.920173282070207,0.625324641145296,2,4.0859688422441724,5.931079696678931,6.834160646786842,5.617069728569981,1.143704869766879
0.28180766105651855,0.06688990661157977,0.008715550104777018,0.0004831017542286905,0.03654775061557585,9,sqrt,8,17,286,0.6356745158869479,"{'model__learning_rate': np.float64(0.03654775061557585), 'model__max_depth': 9, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 17, 'model__n_estimators': 286, 'model__subsample': np.float64(0.6356745158869479)}",13.158290238480095,11.3409024885223,11.720383482398205,12.0731920698002,0.7827643250824214,8,6.436816620539259,6.3410648329097645,6.375594766951084,6.384492073466703,0.0395935411903307
