mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.1703813076019287,0.049224136967488015,0.01627937952677409,0.005319691593709536,9,sqrt,8,8,171,"{'model__max_depth': 9, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 8, 'model__n_estimators': 171}",14.549347875813286,12.548367267904622,12.779608507181804,13.292441216966571,0.893766893351028,6,12.576357648372557,11.44871574216518,10.905114932048768,11.643396107528835,0.6960308363427221
1.3317055702209473,0.4999334419480723,0.029637734095255535,0.0025803648043356466,13,,8,5,409,"{'model__max_depth': 13, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 5, 'model__n_estimators': 409}",12.210968169938585,9.986368789835172,10.439680137735218,10.879005699169658,0.9598492285028892,9,9.832017471047369,8.793322317507398,8.398258440851704,9.007866076468824,0.6046696109165054
0.34533898035685223,0.06887976199535262,0.029774983723958332,0.0026538066800665793,5,log2,5,3,393,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 5, 'model__min_samples_split': 3, 'model__n_estimators': 393}",16.7969042174929,16.18758249598064,16.49826226175716,16.494249658410236,0.2487707322226387,2,15.463428282532373,15.638155285809237,15.608035407901959,15.569872992081189,0.07626558378231635
0.2745770613352458,0.08620186959923375,0.024750550587972004,0.0021119666120540483,14,log2,6,3,241,"{'model__max_depth': 14, 'model__max_features': 'log2', 'model__min_samples_leaf': 6, 'model__min_samples_split': 3, 'model__n_estimators': 241}",14.785596735722795,12.84533837764318,13.113699974621085,13.581545029329021,0.8584132145749905,5,12.389493733987269,11.396350186292361,10.638991612708711,11.47494517766278,0.7167971812870406
0.2834295431772868,0.05667371797385537,0.02014954884847005,0.00624121405170286,3,log2,6,13,394,"{'model__max_depth': 3, 'model__max_features': 'log2', 'model__min_samples_leaf': 6, 'model__min_samples_split': 13, 'model__n_estimators': 394}",20.45231255445078,20.36241634232587,20.470874794483297,20.428534563753317,0.04736280954717443,1,19.93540929906576,20.048544653999723,20.104036396333086,20.029330116466188,0.07016966734362123
0.4108603000640869,0.18225811660427418,0.012541691462198893,0.0010488882157171165,19,,3,13,104,"{'model__max_depth': 19, 'model__max_features': None, 'model__min_samples_leaf': 3, 'model__min_samples_split': 13, 'model__n_estimators': 104}",11.874784079274118,10.158715132022165,10.539968433747053,10.857822548347778,0.7357520354743915,10,8.660615828165511,8.0104684969528,7.630545115384977,8.100543146834429,0.4253206635355831
0.07277003924051921,0.015939709301009637,0.004695574442545573,4.12559835055928e-05,5,sqrt,3,8,70,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 8, 'model__n_estimators': 70}",16.031552386436815,15.422968322753183,15.484346636345295,15.646289115178432,0.27357225185848805,3,14.647608401437598,14.827488201085943,14.429562753406778,14.634886451976774,0.16270126300724472
0.5905653635660807,0.1978614804154674,0.015448252360026041,0.003233384016443548,11,,2,5,138,"{'model__max_depth': 11, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 138}",11.866780416735702,10.219807003951983,10.588681601400838,10.891756340696174,0.7057011070811376,8,6.712229313446158,6.66227864672549,6.802622881902355,6.7257102806913345,0.05808286290719471
0.4147818883260091,0.13513310714523735,0.034354607264200844,0.01062176184421118,16,log2,9,3,389,"{'model__max_depth': 16, 'model__max_features': 'log2', 'model__min_samples_leaf': 9, 'model__min_samples_split': 3, 'model__n_estimators': 389}",15.566247460793702,13.493831284391291,13.71034481765826,14.256807854281085,0.9301231423311204,4,13.778147415728116,12.392781283927533,11.593986553869573,12.588305084508406,0.9023346884845831
0.27803778648376465,0.1116131932651189,0.0065195560455322266,0.0002837335357959908,17,,8,16,84,"{'model__max_depth': 17, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 16, 'model__n_estimators': 84}",12.48010095560959,10.050667638144663,10.450181575791357,10.993650056515202,1.063658796531223,7,9.958425235802551,8.837351696328772,8.405006872196404,9.06692793477591,0.654627675370691
