mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.23358639081319174,0.07829239673707566,0.016238053639729817,0.002918789462488726,9,sqrt,8,8,171,"{'model__max_depth': 9, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 8, 'model__n_estimators': 171}",9.675783976572221,8.171771631791271,8.54150620234006,8.796353936901184,0.6399082273636721,6,8.673462162044414,7.7624631860270465,7.299613059388149,7.911846135819871,0.5707315705793514
3.2109548250834146,1.2170885578653057,0.03073994318644206,0.0040610690966000566,13,,8,5,409,"{'model__max_depth': 13, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 5, 'model__n_estimators': 409}",3.3446323044512827,1.6086944546061117,1.3359944432212936,2.0964404007595627,0.8895986343602715,7,2.7200823958441056,1.5961054088916973,1.1393724348584586,1.8185200798647536,0.6642099113924007
0.3540700276692708,0.07068166849777395,0.03456632296244303,0.0044726299835241195,5,log2,5,3,393,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 5, 'model__min_samples_split': 3, 'model__n_estimators': 393}",13.627283493927763,13.243998486452936,13.436333490565914,13.435871823648872,0.1564757895884669,2,12.872051545015637,12.916007311187586,12.858290621693254,12.882116492632159,0.02461410760030118
0.30063366889953613,0.08738256919484576,0.021873076756795246,0.006512449844495316,14,log2,6,3,241,"{'model__max_depth': 14, 'model__max_features': 'log2', 'model__min_samples_leaf': 6, 'model__min_samples_split': 3, 'model__n_estimators': 241}",10.89985890553398,9.035794166389719,9.255895549360115,9.730516207094604,0.8317182674004783,5,9.65579600804128,8.409479777999445,7.807564838694449,8.62428020824506,0.7696726717514677
0.29638441403706867,0.06406768860110355,0.023985942204793293,0.00659470476646591,3,log2,6,13,394,"{'model__max_depth': 3, 'model__max_features': 'log2', 'model__min_samples_leaf': 6, 'model__min_samples_split': 13, 'model__n_estimators': 394}",18.256186159110108,18.61009196298619,18.056323942102797,18.3075340213997,0.2289719159774264,1,17.89141728921547,18.256658527406408,17.922984288569193,18.02368670173036,0.16523926597749805
1.0180813471476238,0.41809326870467295,0.0159606138865153,0.002464627252415689,19,,3,13,104,"{'model__max_depth': 19, 'model__max_features': None, 'model__min_samples_leaf': 3, 'model__min_samples_split': 13, 'model__n_estimators': 104}",2.5022132919321116,1.1300065123838225,0.9009033200716678,1.5110410414625342,0.7070779734265995,9,1.7401551655582863,1.1357747434511591,0.8060245120816858,1.2273181403637106,0.3868118962147466
0.09786605834960938,0.010580998205166472,0.009676218032836914,0.001882248238704901,5,sqrt,3,8,70,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 8, 'model__n_estimators': 70}",11.043255349903987,10.748756279523263,11.366895899495884,11.052969176307712,0.25244790388319077,3,10.313136300227773,10.633785431953532,10.699634463711801,10.548852065297702,0.1688302207796376
1.4669283231099446,0.5570941870839611,0.015707890192667644,0.0018788909117337734,11,,2,5,138,"{'model__max_depth': 11, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 138}",2.036235079515065,0.8816901495914369,0.577763617306139,1.1652296154708803,0.6282678425920274,10,1.1869702619189315,0.7061419876631522,0.45928823669036273,0.7841334954241489,0.30215039182755005
0.41174928347269696,0.11515729737068144,0.041267712910970054,0.0012741409243082367,16,log2,9,3,389,"{'model__max_depth': 16, 'model__max_features': 'log2', 'model__min_samples_leaf': 9, 'model__min_samples_split': 3, 'model__n_estimators': 389}",11.530723946059345,9.743415067322893,9.911099246270636,10.395079419884292,0.8059345975701611,4,10.623502074376363,9.351346617242527,8.62517462700052,9.53334110620647,0.8259013832348461
0.6994442939758301,0.2724193153181438,0.0122984250386556,0.002949863172829523,17,,8,16,84,"{'model__max_depth': 17, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 16, 'model__n_estimators': 84}",3.135140172966617,1.6881283616955254,1.2983914608289158,2.040553331830353,0.7901746547718744,8,2.514884632668419,1.6402469437902039,1.1163590882911585,1.7571635549165938,0.5769000751354245
