traffic_sensitivity,zone_influence,weather_impact,time_pattern,capacity_factor,mse,rmse,mae,r2
0.2,0.2,0.1,0.3,0.1,2843.915328352177,53.32837263926377,50.12368776310172,-4.519404851718439
0.2,0.2,0.1,0.3,0.3,2835.9095625771365,53.25325870383085,50.04476158860508,-4.503867447344981
0.2,0.2,0.1,0.3,0.5,2827.9165968020957,53.178159020429575,49.96583541410843,-4.48835488491439
0.2,0.2,0.1,0.3,0.7,2819.936431027055,53.10307364952668,49.88690923961178,-4.472867164426664
0.2,0.2,0.1,0.5,0.1,1614.2570630578018,40.177818047497325,36.8399764199166,-2.132912635245183
0.2,0.2,0.1,0.5,0.3,1608.408881175379,40.10497327234341,36.76212407092331,-2.121562619605203
0.2,0.2,0.1,0.5,0.5,1602.5734992929558,40.0321558162055,36.68427172193002,-2.110237445908088
0.2,0.2,0.1,0.5,0.7,1596.7509174105328,39.95936582843292,36.60662536534318,-2.098937114153839
0.2,0.2,0.1,0.7,0.1,795.0518178976554,28.19666324049098,24.446221782838666,-0.5430181121512165
0.2,0.2,0.1,0.7,0.3,791.3612199078499,28.131143238550578,24.380181514382294,-0.5358554852447126
0.2,0.2,0.1,0.7,0.5,787.6834219180444,28.065698315168365,24.314408760694945,-0.5287177002810741
0.2,0.2,0.1,0.7,0.7,784.0184239282389,28.000328996785715,24.24863694861441,-0.5216047572603018
0.2,0.2,0.1,0.9,0.1,386.29959287173693,19.654505663377467,15.67235688994875,0.250278717563462
0.2,0.2,0.1,0.9,0.3,384.7665787745489,19.615467844906195,15.636288598852447,0.2532539557364898
0.2,0.2,0.1,0.9,0.5,383.2463646773608,19.576679102374868,15.601222729616536,0.2562043519666519
0.2,0.2,0.1,0.9,0.7,381.73895058017285,19.538140919242363,15.566578914005396,0.25912990625394816
0.2,0.2,0.3,0.3,0.1,2828.3573945300573,53.182303396243164,49.97023670723669,-4.489210374912311
0.2,0.2,0.3,0.3,0.3,2820.3765239836193,53.107217249481444,49.89131053274004,-4.473721286620617
