traffic_sensitivity,zone_influence,weather_impact,time_pattern,capacity_factor,mse,rmse,mae,r2
0.2,0.2,0.1,0.3,0.1,2154.6561337141247,46.41827370458885,42.20104285722397,-4.8503864480880985
0.2,0.2,0.1,0.3,0.3,2147.918258492487,46.345639045032996,42.12211668272732,-4.8320915687944686
0.2,0.2,0.1,0.3,0.5,2141.193183270849,46.27302868054834,42.04319050823067,-4.813831444441716
0.2,0.2,0.1,0.3,0.7,2134.480908049211,46.200442725684034,41.96426433373403,-4.795606075029838
0.2,0.2,0.1,0.5,0.1,1517.446751789632,38.95441889939615,33.454069083617675,-3.120216573519956
0.2,0.2,0.1,0.5,0.3,1512.3252524069203,38.88862626021804,33.38905154095822,-3.106310526000968
0.2,0.2,0.1,0.5,0.5,1507.2165530242085,38.82288697436357,33.3240850980052,-3.092439233422856
0.2,0.2,0.1,0.5,0.7,1502.1206536414968,38.757201313323655,33.25935319620457,-3.0786026957856203
0.2,0.2,0.1,0.7,0.1,1169.113208791314,34.19229750676772,28.29194585255944,-2.174410972577484
0.2,0.2,0.1,0.7,0.3,1165.6080852475286,34.14100299123517,28.24952974517689,-2.1648937568331372
0.2,0.2,0.1,0.7,0.5,1162.115761703743,34.08981903301546,28.20744606561125,-2.155411296029666
0.2,0.2,0.1,0.7,0.7,1158.6362381599577,34.03874613084268,28.166019217080258,-2.145963590167072
0.2,0.2,0.1,0.9,0.1,1109.6555047191705,33.311492081850226,28.074492143358917,-2.01296964526068
0.2,0.2,0.1,0.9,0.3,1107.7667570143112,33.28313021658737,28.056913458107168,-2.007841261290975
0.2,0.2,0.1,0.9,0.5,1105.890809309452,33.25493661562824,28.03973225005348,-2.0027476322621456
0.2,0.2,0.1,0.9,0.7,1104.0276616045924,33.226911707298235,28.022551041999783,-1.997688758174192
0.2,0.2,0.3,0.3,0.1,2141.5683200603353,46.27708201756389,42.04734646444477,-4.814850027015078
0.2,0.2,0.3,0.3,0.3,2134.8553400672995,46.204494803723364,41.96842028994813,-4.79662274398693
0.2,0.2,0.3,0.3,0.5,2128.155160074264,46.13193210861934,41.889494115451484,-4.778430215899658
0.2,0.2,0.3,0.3,0.7,2121.467780081228,46.05939404813341,41.81056794095484,-4.760272442753261
0.2,0.2,0.3,0.5,0.1,1507.4832307208171,38.82632136477543,33.32745316815971,-3.093163324639934
0.2,0.2,0.3,0.5,0.3,1502.386626566708,38.76063243249145,33.262679587341346,-3.0793248733864287
0.2,0.2,0.3,0.5,0.5,1497.3028224125983,38.69499738225341,33.197981600764166,-3.065521177073798
0.2,0.2,0.3,0.5,0.7,1492.2318182584888,38.62941648871348,33.13328361418698,-3.0517522357020432
0.2,0.2,0.3,0.7,0.1,1162.2739803074737,34.092139567757755,28.209479993986715,-2.1558408958904596
0.2,0.2,0.3,0.7,0.3,1158.7937519922905,34.04105979537491,28.167999446367986,-2.1463912764115953
0.2,0.2,0.3,0.7,0.5,1155.3263236771072,33.99009155146698,28.12665716448879,-2.136976411873606
0.2,0.2,0.3,0.7,0.7,1151.8716953619241,33.939235338497596,28.085314882609598,-2.1275963022764937
0.2,0.2,0.3,0.9,0.1,1105.940568820305,33.25568475945587,28.04091706663833,-2.002882740766655
0.2,0.2,0.3,0.9,0.3,1104.076716344048,33.227649876933036,28.02373585858464,-1.9978219530624322
0.2,0.2,0.3,0.9,0.5,1102.225663867791,33.1997840936924,28.006644900629603,-1.9927959202990846
0.2,0.2,0.3,0.9,0.7,1100.3874113915338,33.172087835882955,27.98973214895175,-1.9878046424766134
0.2,0.2,0.5,0.3,0.1,2128.529456476483,46.135988734137726,41.893650071665576,-4.779446516628507
0.2,0.2,0.5,0.3,0.3,2121.8413717120497,46.06344941178472,41.814723897168925,-4.76128682986584
0.2,0.2,0.5,0.3,0.5,2115.1660869476163,45.99093483446076,41.73579772267229,-4.74316189804405
0.2,0.2,0.5,0.3,0.7,2108.5036021831834,45.918445119398186,41.656871548175644,-4.725071721163137
0.2,0.2,0.5,0.5,0.1,1497.5686597219399,38.69843226439464,33.20130799190094,-3.066242986446362
0.2,0.2,0.5,0.5,0.3,1492.4969507964327,38.63284808031156,33.13661000532376,-3.0524721314583374
0.2,0.2,0.5,0.5,0.5,1487.4380418709252,38.56731831319006,33.07191201874658,-3.0387360314111884
0.2,0.2,0.5,0.5,0.7,1482.391932945418,38.50184324088157,33.007384707585565,-3.025034686304916
0.2,0.2,0.5,0.7,0.1,1155.4837018935712,33.9924065328357,28.128637393776522,-2.1374037298898863
0.2,0.2,0.5,0.7,0.3,1152.02836880699,33.941543406377235,28.08729511189733,-2.1280217066765035
0.2,0.2,0.5,0.7,0.5,1148.585835720409,33.89079278683827,28.046060897658958,-2.118674438403996
0.2,0.2,0.5,0.7,0.7,1145.156102633828,33.84015518040406,28.005103722230107,-2.1093619250723656
0.2,0.2,0.5,0.9,0.1,1102.2745829913772,33.200520824098184,28.007793275185033,-1.9929287469590808
0.2,0.2,0.5,0.9,0.3,1100.435625743722,33.17281455866719,27.99088052350719,-1.9879355555203388
0.2,0.2,0.5,0.9,0.5,1098.6094684960672,33.1452782232412,27.973967771829336,-1.9829771190224732
0.2,0.2,0.5,0.9,0.7,1096.7961112484122,33.11791224169199,27.957319196546425,-1.978053437465484
0.2,0.2,0.7,0.3,0.1,2115.5395429625687,45.994994759892826,41.73995367888639,-4.744175916928386
0.2,0.2,0.7,0.3,0.3,2108.8763534267378,45.92250378002856,41.661027504389736,-4.726083826431201
0.2,0.2,0.7,0.3,0.5,2102.2259638909063,45.85003777414918,41.582355056789176,-4.708026490874893
0.2,0.2,0.7,0.3,0.7,2095.588374355075,45.777596860856235,41.50369733866836,-4.690003910259461
0.2,0.2,0.7,0.5,0.1,1487.7030387930001,38.5707536715709,33.07523840988335,-3.03945555893924
0.2,0.2,0.7,0.5,0.3,1482.656225096095,38.50527528918726,33.01076004115614,-3.0257523002166966
0.2,0.2,0.7,0.5,0.5,1477.62221139919,38.43985186494857,32.946330510954795,-3.0120837964350304
0.2,0.2,0.7,0.5,0.7,1472.6009977022852,38.37448367994396,32.88190098075346,-2.9984500475942397
0.2,0.2,0.7,0.7,0.1,1148.742373549606,33.893102152939704,28.04793305930587,-2.119099474575763
0.2,0.2,0.7,0.7,0.3,1145.3119356916272,33.842457589419055,28.006963996531475,-2.1097850476278617
0.2,0.2,0.7,0.7,0.5,1141.8942978336481,33.791926518528776,27.966167151341658,-2.100505375620836
0.2,0.2,0.7,0.7,0.7,1138.4894599756692,33.74150945016641,27.92563023858999,-2.091260458554687
0.2,0.2,0.7,0.9,0.1,1098.6575472323866,33.146003488088674,27.975116146384767,-1.9831076638379557
0.2,0.2,0.7,0.9,0.3,1096.8434852133337,33.118627465722874,27.958415558252966,-1.9781820686646951
0.2,0.2,0.7,0.9,0.5,1095.0422231942812,33.09142219963175,27.942281810064973,-1.9732912284323119
0.2,0.2,0.7,0.9,0.7,1093.2537611752282,33.06438811130834,27.926174427514642,-1.9684351431408036
0.2,0.4,0.1,0.3,0.1,2137.83544566003,46.23673264472772,42.00372742098236,-4.804714415368167
0.2,0.4,0.1,0.3,0.3,2131.129570438392,46.16415893784259,41.924801246485714,-4.786506423426728
0.2,0.4,0.1,0.3,0.5,2124.436495216754,46.09160981368251,41.84587507198906,-4.7683331864261636
0.2,0.4,0.1,0.3,0.7,2117.7562199951167,46.01908538851154,41.76694889749242,-4.750194704366478
0.2,0.4,0.1,0.5,0.1,1504.6670033328528,38.790037423710395,33.291702189493165,-3.0855166202366284
0.2,0.4,0.1,0.5,0.3,1499.5775039501414,38.724378677393155,33.227004202915985,-3.0716974600698315
0.2,0.4,0.1,0.5,0.5,1494.5008045674294,38.65877396617008,33.162306216338806,-3.057913054843909
0.2,0.4,0.1,0.5,0.7,1489.4369051847177,38.59322356560433,33.09760822976162,-3.044163404558863
0.2,0.4,0.1,0.7,0.1,1160.3743999318503,34.0642686686776,28.186690358019856,-2.15068309873076
0.2,0.4,0.1,0.7,0.3,1156.9012763880648,34.01325148215126,28.145348076140664,-2.1412527703386033
0.2,0.4,0.1,0.7,0.5,1153.4409528442793,33.962346103358044,28.104005794261468,-2.1318571968873226
0.2,0.4,0.1,0.7,0.7,1149.9934293004937,33.911553035809106,28.062866714876442,-2.122496378376918
0.2,0.4,0.1,0.9,0.1,1104.9576354570224,33.24090304815774,28.03114164602663,-2.00021385085056
0.2,0.4,0.1,0.9,0.3,1103.100887752163,33.21296264641508,28.01396043797294,-1.9951723542330453
0.2,0.4,0.1,0.9,0.5,1101.2569400473035,33.185191577679696,27.99704015023524,-1.9901656125564058
0.2,0.4,0.1,0.9,0.7,1099.4257923424443,33.15759026742511,27.98017673121756,-1.985193625820643
