traffic_sensitivity,zone_influence,weather_impact,time_pattern,capacity_factor,mse,rmse,mae,r2
0.2,0.2,0.1,0.3,0.1,2115.847836260442,45.998346016573706,41.570365366932315,-4.434540356475157
0.2,0.2,0.1,0.3,0.3,2109.2428953182966,45.92649448105414,41.494929125321576,-4.417575611899921
0.2,0.2,0.1,0.3,0.5,2102.6507543761522,45.854669929857224,41.41949288371084,-4.4006437440350865
0.2,0.2,0.1,0.3,0.7,2096.0714134340064,45.78287248998261,41.344147866163844,-4.38374475288065
0.2,0.2,0.1,0.5,0.1,1501.7607687570583,38.75255822209752,32.992066517090194,-2.8572620222094254
0.2,0.2,0.1,0.5,0.3,1496.7722036538394,38.688140348869695,32.92871841724897,-2.844448927661822
0.2,0.2,0.1,0.5,0.5,1491.7964385506207,38.62378073869285,32.865869581435824,-2.831668709824619
0.2,0.2,0.1,0.5,0.7,1486.8334734474017,38.55947968330747,32.803132093955256,-2.818921368697815
0.2,0.2,0.1,0.7,0.1,1176.5495401798491,34.30086792166999,28.56545846312424,-2.021959258091296
0.2,0.2,0.1,0.7,0.3,1173.1773509155564,34.25167661466452,28.528454189037618,-2.0132978135713246
0.2,0.2,0.1,0.7,0.5,1169.8179616512639,34.20260167956911,28.49193088470573,-2.004669245761754
0.2,0.2,0.1,0.7,0.7,1166.4713723869709,34.1536436180237,28.455689273967472,-1.9960735546625816
0.2,0.2,0.1,0.9,0.1,1140.2141505288146,33.76705717898459,28.972457371160143,-1.9286320641207695
0.2,0.2,0.1,0.9,0.3,1138.4583371034482,33.741048251402155,28.957319981895004,-1.9241222696284304
0.2,0.2,0.1,0.9,0.5,1136.7153236780816,33.71520908548665,28.942286424848024,-1.919645351846491
0.2,0.2,0.1,0.9,0.7,1134.9851102527152,33.68954007184894,28.927362597330006,-1.9152013107749517
0.2,0.2,0.3,0.3,0.1,2103.0253203183265,45.85875402056107,41.423598336545425,-4.401605814035595
0.2,0.2,0.3,0.3,0.3,2096.4452746047837,45.786955288649445,41.34817808163845,-4.384705012680759
0.2,0.2,0.3,0.3,0.5,2089.878028891241,45.71518378931928,41.273010296403555,-4.367837088036321
0.2,0.2,0.3,0.3,0.7,2083.323583177698,45.64343965103526,41.19784251116866,-4.3510020401022835
0.2,0.2,0.3,0.5,0.1,1492.062545399917,38.62722544268378,32.86891017918242,-2.8323522034042856
0.2,0.2,0.3,0.5,0.3,1487.0988755253004,38.56292099316778,32.80611999831318,-2.8196030520770803
0.2,0.2,0.3,0.5,0.5,1482.148005650684,38.49867537527342,32.7435696627427,-2.8068867774602753
0.2,0.2,0.3,0.5,0.7,1477.2099357760671,38.434488884022734,32.68101932717223,-2.7942033795538697
0.2,0.2,0.3,0.7,0.1,1169.9756094076827,34.20490621837286,28.49347848586557,-2.0050741629205793
0.2,0.2,0.3,0.7,0.3,1166.6283153719921,34.15594114311582,28.45723687512731,-1.996476661621006
0.2,0.2,0.3,0.7,0.5,1163.2938213363018,34.10709341671175,28.42099526438906,-1.9879120370318328
0.2,0.2,0.3,0.7,0.7,1159.9721273006114,34.05836354407844,28.38491913228777,-1.9793802891530592
0.2,0.2,0.3,0.9,0.1,1136.7645123416228,33.71593855050787,28.943539522832815,-1.919771692584475
0.2,0.2,0.3,0.9,0.3,1135.0335941448584,33.6902596330877,28.928649445602836,-1.915325841312534
0.2,0.2,0.3,0.9,0.5,1133.3154759480944,33.6647512384704,28.913970960551115,-1.910912866750993
0.2,0.2,0.3,0.9,0.7,1131.61015775133,33.63941375457263,28.89947431625581,-1.9065327688998512
0.2,0.2,0.5,0.3,0.1,2090.251754446148,45.7192711495508,41.27704051187818,-4.368796999508017
0.2,0.2,0.5,0.3,0.3,2083.6966039612075,45.64752571565306,41.20187272664327,-4.351960141373579
0.2,0.2,0.5,0.3,0.5,2077.1542534762666,45.57580776548307,41.12670494140838,-4.335156159949538
0.2,0.2,0.5,0.3,0.7,2070.624702991326,45.50411742899016,41.05153715617348,-4.318385055235899
0.2,0.2,0.5,0.5,0.1,1482.4132721127137,38.502120358659646,32.746557567100616,-2.8075681125111305
0.2,0.2,0.5,0.5,0.3,1477.4744974666994,38.43793045244111,32.684007231530146,-2.7948829044043233
0.2,0.2,0.5,0.5,0.5,1472.5485228206849,38.373799952841324,32.62153942425918,-2.782230573007916
0.2,0.2,0.5,0.5,0.7,1467.6353481746705,38.309729158200405,32.55943512207382,-2.769611118321908
0.2,0.2,0.5,0.7,0.1,1163.450628705454,34.109392089356476,28.422542865548905,-1.9883147956618465
0.2,0.2,0.5,0.7,0.3,1160.1282298983654,34.06065515955859,28.386438117499765,-1.9797812375826704
0.2,0.2,0.5,0.7,0.5,1156.8186310912772,34.012036561947845,28.350464963137345,-1.971280556213895
0.2,0.2,0.5,0.7,0.7,1153.521832284189,33.96353680469967,28.314491808774925,-1.9628127515555196
0.2,0.2,0.5,0.9,0.1,1133.3638242243687,33.665469315373706,28.91524700834347,-1.9110370489601651
0.2,0.2,0.5,0.9,0.3,1131.6578012562065,33.64012189716628,28.90075036404817,-1.9066551409086214
0.2,0.2,0.5,0.9,0.5,1129.9645782880443,33.614945757624604,28.886426965961135,-1.9023061095674776
0.2,0.2,0.5,0.9,0.7,1128.2841553198823,33.58994128187607,28.87225532983175,-1.897989954936734
0.2,0.2,0.7,0.3,0.1,2077.5271386439076,45.57989840537063,41.130735156883,-4.336113912892423
0.2,0.2,0.7,0.3,0.3,2070.9968833875687,45.508206769631876,41.05556737164809,-4.31934099797838
0.2,0.2,0.7,0.3,0.5,2064.479428131231,45.43654287169338,40.98039958641319,-4.3026009597747406
0.2,0.2,0.7,0.3,0.7,2057.9747728748926,45.36490684300909,40.905231801178296,-4.285893798281498
0.2,0.2,0.7,0.5,0.1,1472.8129488954476,38.37724519680181,32.62444480031759,-2.782909749529958
0.2,0.2,0.7,0.5,0.3,1467.8990694780355,38.31317096610558,32.56226668186963,-2.770288484643549
0.2,0.2,0.7,0.5,0.5,1462.9979900606231,38.24915672352298,32.50047196568895,-2.7577000964675387
0.2,0.2,0.7,0.5,0.7,1458.1097106432112,38.18520277074892,32.43872699924599,-2.74514458500193
0.2,0.2,0.7,0.7,0.1,1156.9745980731623,34.01432930506145,28.35198394834934,-1.9716811563150962
0.2,0.2,0.7,0.7,0.3,1153.6770944946766,33.965822446905015,28.316010793986923,-1.9632115414563192
0.2,0.2,0.7,0.7,0.5,1150.3923909161904,33.91743491062068,28.280055144250888,-1.9547748033079415
0.2,0.2,0.7,0.7,0.7,1147.1204873377044,33.86916720761974,28.244457283259088,-1.9463709418699642
0.2,0.2,0.7,0.9,0.1,1130.0120861770517,33.61565239850406,28.887669520561147,-1.9024281332478372
0.2,0.2,0.7,0.9,0.3,1128.3309584374922,33.59063795817954,28.873525997376284,-1.8981101684166926
0.2,0.2,0.7,0.9,0.5,1126.6626306979322,33.565795546924434,28.85971360034492,-1.8938250802959469
0.2,0.2,0.7,0.9,0.7,1125.0071029583723,33.54112554698146,28.846022325177135,-1.8895728688856006
0.2,0.4,0.1,0.3,0.1,2099.3594839050797,45.81876781303792,41.381774762905465,-4.392190138869069
0.2,0.4,0.1,0.3,0.3,2092.7865429629346,45.746983976683474,41.30656397354639,-4.375307586069834
0.2,0.4,0.1,0.3,0.5,2086.22640202079,45.67522744355839,41.23139618831149,-4.358457909980999
0.2,0.4,0.1,0.3,0.7,2079.6790610786447,45.60349834254654,41.1562284030766,-4.341641110602563
0.2,0.4,0.1,0.5,0.1,1489.3133559990113,38.59162287335182,32.83446018546267,-2.825290929672417
0.2,0.4,0.1,0.5,0.3,1484.3567908957923,38.52735120529041,32.771856926170024,-2.8125600269008135
0.2,0.4,0.1,0.5,0.5,1479.4130257925738,38.46313853278973,32.70930659059955,-2.7998620008396102
0.2,0.4,0.1,0.5,0.7,1474.4820606893547,38.398985151815594,32.64697218796571,-2.7871968514888064
0.2,0.4,0.1,0.7,0.1,1168.1430670191178,34.17810800818439,28.473810079336605,-2.0003672906233683
0.2,0.4,0.1,0.7,0.3,1164.8028777548247,34.129208572054885,28.437568468598354,-1.9917880378793966
