traffic_sensitivity,zone_influence,weather_impact,time_pattern,capacity_factor,mse,rmse,mae,r2
0.2,0.2,0.1,0.3,0.1,953.7661853418775,30.883105176485696,26.34578440410523,-0.23619143919312857
0.2,0.2,0.1,0.3,0.3,950.3031030955918,30.826986604201064,26.296925343702547,-0.23170288351577928
0.2,0.2,0.1,0.3,0.5,946.8528208493061,30.770973674053703,26.248066283299856,-0.22723091812089624
0.2,0.2,0.1,0.3,0.7,943.4153386030202,30.71506696400026,26.199207222897176,-0.22277554300847946
0.2,0.2,0.1,0.5,0.1,531.8100704432859,23.061007576497733,20.209945772266806,0.3107125556951541
0.2,0.2,0.1,0.5,0.3,529.9633640359265,23.020933170397903,20.170124983316597,0.31310610108034986
0.2,0.2,0.1,0.5,0.5,528.1294576285668,22.98106737357007,20.13039343969243,0.3154830561830796
0.2,0.2,0.1,0.5,0.7,526.3083512212074,22.941411273529084,20.090661896068273,0.3178434210033426
0.2,0.2,0.1,0.7,0.1,398.7297944708691,19.968219611945106,16.064638877142208,0.48320000640467065
0.2,0.2,0.1,0.7,0.3,398.4994639024357,19.962451350033035,16.042948121496874,0.4834985414977131
0.2,0.2,0.1,0.7,0.5,398.2819333340024,19.957002112892667,16.02168369855533,0.4837804863082892
0.2,0.2,0.1,0.7,0.7,398.07720276556904,19.95187216191927,16.000538971744966,0.484045840836399
0.2,0.2,0.1,0.9,0.1,554.5253574246268,23.54836209643097,18.113712822110983,0.2812709129354213
0.2,0.2,0.1,0.9,0.3,555.9114026951195,23.577773488926375,18.135951437280028,0.27947443773631053
0.2,0.2,0.1,0.9,0.5,557.3102479656125,23.6074193415039,18.15851296693247,0.277661372254733
0.2,0.2,0.1,0.9,0.7,558.7218932361052,23.637298771985456,18.181331758878777,0.2758317164906894
0.2,0.2,0.3,0.3,0.1,946.9458751712625,30.77248568398826,26.248223500695953,-0.22735152729948793
0.2,0.2,0.3,0.3,0.3,943.5076881535791,30.716570253750323,26.199364440293273,-0.22289523872171468
0.2,0.2,0.3,0.3,0.5,940.0823011358957,30.660761587669274,26.150505379890586,-0.2184555404264079
0.2,0.2,0.3,0.3,0.7,936.6697141182123,30.60506026980199,26.1016463194879,-0.21403243241356762
0.2,0.2,0.3,0.5,0.1,528.1140528576456,22.98073220891026,20.12960014489035,0.31550302255033835
0.2,0.2,0.3,0.5,0.3,526.2922416788884,22.941060169026375,20.08986860126619,0.31786430083595796
0.2,0.2,0.3,0.5,0.5,524.483230500131,22.90159886340102,20.05013705764203,0.32020898883911153
0.2,0.2,0.3,0.5,0.7,522.6870193213737,22.862349383240858,20.010940615854228,0.3225370865597985
0.2,0.2,0.3,0.7,0.1,398.1580694702035,19.953898603285612,16.020558212582216,0.4839410282213984
0.2,0.2,0.3,0.7,0.3,397.9526341303723,19.94875018968287,15.999415395046814,0.4842072962148647
0.2,0.2,0.3,0.7,0.5,397.75999879054126,19.943921349387168,15.978475797731377,0.4844569739258645
0.2,0.2,0.3,0.7,0.7,397.58016345071013,19.93941231457713,15.957536200415943,0.4846900613543982
0.2,0.2,0.3,0.9,0.1,557.0779250089357,23.60249827897326,18.155098752521475,0.27796248971369264
0.2,0.2,0.3,0.9,0.3,558.4888655080309,23.63236902022374,18.177895975026765,0.2761337474150054
0.2,0.2,0.3,0.9,0.5,559.912606007126,23.66247252522707,18.20071476697307,0.2742884148338518
0.2,0.2,0.3,0.9,0.7,561.3491465062209,23.692807906751383,18.22356401921009,0.27242649197023205
0.2,0.2,0.5,0.3,0.1,940.1745150705851,30.662265328422574,26.15066259728668,-0.21857506036576968
0.2,0.2,0.5,0.3,0.3,936.7612232815038,30.60655523383028,26.101803536884,-0.2141510388875727
0.2,0.2,0.5,0.3,0.5,933.3607314924226,30.55095303738367,26.052944476481308,-0.2097436076918422
0.2,0.2,0.5,0.3,0.7,929.9730397033413,30.49545932927296,26.004085416078624,-0.20535276677857794
0.2,0.2,0.5,0.5,0.1,524.466985341943,22.901244187640614,20.049343762839943,0.32023004444559966
0.2,0.2,0.5,0.5,0.3,522.6700693917879,22.861978684964868,20.010180032245497,0.3225590556316432
0.2,0.2,0.5,0.5,0.5,520.8859534416326,22.822926049076894,19.971253857748852,0.32487147653522064
0.2,0.2,0.5,0.5,0.7,519.1146374914777,22.784087374557657,19.932327683252208,0.32716730715633136
0.2,0.2,0.5,0.7,0.1,397.6352945394754,19.940794731892595,15.977352221033229,0.4846186050782033
0.2,0.2,0.5,0.7,0.3,397.4547544282465,19.93626731432558,15.956412623717794,0.48485260597209345
0.2,0.2,0.5,0.7,0.5,397.28701431701757,19.932059961705352,15.935663638937507,0.4850700165835172
0.2,0.2,0.5,0.7,0.7,397.1320742057887,19.928172876753873,15.915659659246423,0.48527083691247463
0.2,0.2,0.5,0.9,0.1,559.6794426631823,23.657545152935505,18.197278983121063,0.27459062153204117
0.2,0.2,0.5,0.9,0.3,561.1152783908796,23.687871968390905,18.22011495026594,0.2727296121337778
0.2,0.2,0.5,0.9,0.5,562.5639141185768,23.718429840918578,18.24342557305794,0.27085201245304813
0.2,0.2,0.5,0.9,0.7,564.0253498462741,23.74921787862232,18.266932238708915,0.2689578224898521
0.2,0.2,0.7,0.3,0.1,933.4521050398455,30.552448429542363,26.05310169387741,-0.20986203839197493
0.2,0.2,0.7,0.3,0.3,930.0637084793664,30.496945887733848,26.004242633474718,-0.205470284013354
0.2,0.2,0.7,0.3,0.5,926.6881119188873,30.441552390094813,25.955546984072182,-0.20109511991719953
0.2,0.2,0.7,0.3,0.7,923.3253153584083,30.386268532980623,25.906956380045337,-0.19673654610351132
0.2,0.2,0.7,0.5,0.1,520.8688678961777,22.82255173936906,19.97049327414012,0.3248936213809386
0.2,0.2,0.7,0.5,0.3,519.0968471746249,22.78369696020874,19.931567099643477,0.3271903654674059
0.2,0.2,0.7,0.5,0.5,517.337626453072,22.74505718728955,19.892908579309445,0.3294705192714069
0.2,0.2,0.7,0.5,0.7,515.591205731519,22.70663351823689,19.854250861188646,0.3317340827929416
0.2,0.2,0.7,0.7,0.1,397.16146967868485,19.928910398681733,15.934402741539284,0.4852327369750856
0.2,0.2,0.7,0.7,0.3,397.0058247960581,19.925005013702208,15.914327913112212,0.4854344707693996
0.2,0.2,0.7,0.7,0.5,396.8629799134315,19.921420127928418,15.895049100941986,0.485619614281247
0.2,0.2,0.7,0.7,0.7,396.7329350308048,19.918155914411475,15.87606735490263,0.48578816751062825
0.2,0.2,0.7,0.9,0.1,562.3299103873665,23.713496376269916,18.23994647809048,0.27115530839046675
0.2,0.2,0.7,0.9,0.3,563.7906413436658,23.744275970087312,18.263486826196175,0.26926203189262743
0.2,0.2,0.7,0.9,0.5,565.2641722999655,23.775284904706513,18.287110987270005,0.2673521651123214
0.2,0.2,0.7,0.9,0.7,566.7505032562649,23.806522283951196,18.310735148343827,0.26542570804954924
0.2,0.4,0.1,0.3,0.1,945.1324797261634,30.74300700527135,26.22363675309852,-0.22500115677937993
0.2,0.4,0.1,0.3,0.3,941.7013974798774,30.6871536229719,26.17477769269583,-0.22055407680819616
0.2,0.4,0.1,0.3,0.5,938.283115233592,30.631407333545614,26.12591863229315,-0.21612358711947932
0.2,0.4,0.1,0.3,0.7,934.8776329873061,30.575768722753416,26.07705957189047,-0.2117096877132283
0.2,0.4,0.1,0.5,0.1,527.2173044248872,22.96121304341056,20.11052766788036,0.31666531237851936
0.2,0.4,0.1,0.5,0.3,525.4025980175277,22.92166220014438,20.070796124256194,0.31901738205754937
0.2,0.4,0.1,0.5,0.5,523.600691610168,22.882322688271138,20.031164286711284,0.3213528614541131
0.2,0.4,0.1,0.5,0.7,521.8115852028086,22.843195599626785,19.99223811221464,0.3236717505682103
0.2,0.4,0.1,0.7,0.1,398.1779680497857,19.954397210885265,16.011079671709695,0.4839152373576524
0.2,0.4,0.1,0.7,0.3,397.97963748135237,19.94942699631627,15.990069173087246,0.484172296744529
0.2,0.4,0.1,0.7,0.5,397.7941069129191,19.94477643176075,15.969129575771811,0.4844127658489391
0.2,0.4,0.1,0.7,0.7,397.6213763444856,19.94044574086762,15.948487264144376,0.4846366446708832
0.2,0.4,0.1,0.9,0.1,558.0144706008588,23.622329914740813,18.16992236290562,0.27674861815801954
0.2,0.4,0.1,0.9,0.3,559.4325158713516,23.652325802579153,18.19274115485193,0.2749106672527427
0.2,0.4,0.1,0.9,0.5,560.8633611418444,23.682553940439877,18.21555994679824,0.2730561260649995
0.2,0.4,0.1,0.9,0.7,562.3070064123373,23.713013440141623,18.23870591064387,0.27118499459478995
0.2,0.4,0.3,0.3,0.1,938.374407627054,30.632897473583103,26.12607584968924,-0.2162419126346795
0.2,0.4,0.3,0.3,0.3,934.9682206093703,30.577250049822503,26.07721678928656,-0.211827099763072
0.2,0.4,0.3,0.3,0.5,931.574833591687,30.521710856236204,26.028357728883876,-0.20742887717393121
0.2,0.4,0.3,0.3,0.7,928.1942465740034,30.466280484726116,25.97949866848119,-0.20304724486725667
0.2,0.4,0.3,0.5,0.1,523.5835249107524,22.881947576872744,20.03040370310255,0.32137511148476317
0.2,0.4,0.3,0.5,0.3,521.7937137319951,22.84280441915999,19.99147752860591,0.3236949140642169
0.2,0.4,0.3,0.5,0.5,520.0167025532378,22.803874726748475,19.952551354109264,0.3259981263612045
0.2,0.4,0.3,0.5,0.7,518.2524913744805,22.765159594750934,19.913734263265056,0.32828474837572563
0.2,0.4,0.3,0.7,0.1,397.66848112062564,19.94162684237737,15.968005999073663,0.4845755914254397
0.2,0.4,0.3,0.7,0.3,397.4950457807945,19.937277792637452,15.947176122681883,0.48480038371274015
0.2,0.4,0.3,0.7,0.5,397.3344104409634,19.933248868184116,15.92680178508122,0.4850085857175741
0.2,0.4,0.3,0.7,0.7,397.18657510113223,19.929540263165435,15.907341808574415,0.4852001974399419
0.2,0.4,0.3,0.9,0.1,560.6292762566733,23.677611286966286,18.212124162946225,0.27335952718735035
0.2,0.4,0.3,0.9,0.3,562.0722167557684,23.70806227332315,18.235226815676405,0.27148930918249736
0.2,0.4,0.3,0.9,0.5,563.5279572548635,23.738743801112633,18.258582520374393,0.2696025008951779
0.2,0.4,0.3,0.9,0.7,564.9964977539586,23.76965497759609,18.282189731758567,0.2676991023253922
0.2,0.4,0.5,0.3,0.1,931.6652855978821,30.52319258527656,26.02851494627997,-0.20754611344990193
0.2,0.4,0.5,0.3,0.3,928.2839938088007,30.467753343638595,25.979655885877282,-0.2031635676778707
0.2,0.4,0.5,0.3,0.5,924.9155020197196,30.412423481526748,25.931057008891777,-0.19879761218830616
0.2,0.4,0.5,0.3,0.7,921.5598102306382,30.357203597015292,25.882466404864935,-0.19444824698120744
0.2,0.4,0.5,0.5,0.1,519.9986954665553,22.803479898176843,19.951790770500534,0.32602146563108414
0.2,0.4,0.5,0.5,0.3,518.2337795164002,22.764748615269184,19.912985850817456,0.32830900111096184
0.2,0.4,0.5,0.5,0.5,516.4816635662451,22.72623293830821,19.874328132696647,0.3305799463083733
0.2,0.4,0.5,0.5,0.7,514.74234761609,22.687933965350172,19.835670414575844,0.33283430122331814
0.2,0.4,0.5,0.7,0.1,397.20794426140304,19.930076373697194,15.925495687795511,0.4851725005333043
0.2,0.4,0.5,0.7,0.3,397.05940415017415,19.926349493827868,15.905995229716218,0.4853650257210286
0.2,0.4,0.5,0.7,0.5,396.9236640389453,19.922943157047488,15.886848826833692,0.4855409606262864
0.2,0.4,0.5,0.7,0.7,396.8007239277164,19.919857527796637,15.86810404078702,0.4857003052490779
0.2,0.4,0.5,0.9,0.1,563.2930319824254,23.733795144949436,18.255120158172,0.26990699125675843
0.2,0.4,0.5,0.9,0.3,564.7608677101227,23.76469793012574,18.27874431924583,0.2680045061523292
0.2,0.4,0.5,0.9,0.5,566.2415034378199,23.79582953876204,18.302368480319654,0.2660854307654338
0.2,0.4,0.5,0.9,0.7,567.7349391655172,23.827189073944858,18.32599264139348,0.2641497650960719
0.2,0.4,0.7,0.3,0.1,925.0051136386476,30.413896719076423,25.931251682058758,-0.19891375922504695
0.2,0.4,0.7,0.3,0.3,921.6487170781687,30.358667906846122,25.882661078031916,-0.1945634805525922
0.2,0.4,0.7,0.3,0.5,918.3051205176896,30.303549635606874,25.834317559522404,-0.1902297921626035
0.2,0.4,0.7,0.3,0.7,914.9743239572106,30.248542509635246,25.786263868247236,-0.18591269405508126
0.2,0.4,0.7,0.5,0.1,516.4628160922956,22.725818271127128,19.873579720249047,0.3306043748174824
0.2,0.4,0.7,0.5,0.3,514.7227953707428,22.687503066021673,19.83492200212824,0.3328596431977838
0.2,0.4,0.7,0.5,0.5,512.9955746491898,22.64940561359591,19.79638960425167,0.3350983212956191
0.2,0.4,0.7,0.5,0.7,511.28115392763704,22.611527014503842,19.75801885010418,0.3373204091109878
0.2,0.4,0.7,0.7,0.1,396.7963574721181,19.91974792692212,15.885518899599703,0.48570596468124605
0.2,0.4,0.7,0.7,0.3,396.6727125894914,19.916644109625782,15.866908045720303,0.48586622276939406
0.2,0.4,0.7,0.7,0.5,396.5618677068647,19.91386119532987,15.848903619521952,0.4860098905750758
0.2,0.4,0.7,0.7,0.7,396.46382282423804,19.911399318587282,15.831140937286937,0.4861369680982911
0.2,0.4,0.7,0.9,0.1,566.0057377781151,23.790875094836572,18.298923067806918,0.2663910103662437
0.2,0.4,0.7,0.9,0.3,567.4984687344146,23.82222635973419,18.322547228880744,0.2644562581622384
0.2,0.4,0.7,0.9,0.5,569.0039996907141,23.853804721484455,18.34617138995457,0.2625049156757666
0.2,0.4,0.7,0.9,0.7,570.5223306470135,23.885609279376013,18.369825412990185,0.2605369829068286
0.2,0.6,0.1,0.3,0.1,936.5787741104491,30.603574531587796,26.101489102091808,-0.21391456363104555
0.2,0.6,0.1,0.3,0.3,933.1796918641631,30.547989980752632,26.05263004168912,-0.20950895936602754
0.2,0.6,0.1,0.3,0.5,929.7934096178775,30.492513993075047,26.003770981286436,-0.20511994538347644
0.2,0.6,0.1,0.3,0.7,926.419927371592,30.43714716216998,25.95496296457124,-0.20074752168339183
0.2,0.6,0.1,0.5,0.1,522.7045384064884,22.862732522742952,20.01170119946296,0.32251437979647
0.2,0.6,0.1,0.5,0.3,520.9218319991289,22.823712055647935,19.97277502496632,0.32482497376933417
0.2,0.6,0.1,0.5,0.5,519.1519255917693,22.78490565246583,19.933848850469673,0.32711897745973195
0.2,0.6,0.1,0.5,0.7,517.3948191844098,22.746314408809393,19.89515381665225,0.3293963908676635
0.2,0.6,0.1,0.7,0.1,397.70614162870237,19.942571088721294,15.958699408867663,0.48452677904521946
0.2,0.6,0.1,0.7,0.3,397.539811060269,19.938400413781167,15.9382859218625,0.4847423627259302
0.2,0.6,0.1,0.7,0.5,397.3862804918357,19.93454991946986,15.918359590221494,0.48494135612417455
0.2,0.6,0.1,0.7,0.7,397.2455499234024,19.931019791355443,15.899038882643955,0.48512375923995243
0.2,0.6,0.1,0.9,0.1,561.5835837770909,23.69775482565998,18.22702805829487,0.2721226341152031
0.2,0.6,0.1,0.9,0.3,563.0336290475835,23.728329672515585,18.250383762992858,0.2702432075037605
0.2,0.6,0.1,0.9,0.5,564.4964743180766,23.759134544803533,18.273823063734387,0.2683471906098511
0.2,0.6,0.1,0.9,0.7,565.9721195885693,23.79016854897353,18.29744722480821,0.26643458343347604
0.2,0.6,0.3,0.3,0.1,929.8829400828452,30.493982030604744,26.00392819868253,-0.20523598723528558
0.2,0.6,0.3,0.3,0.3,926.5087530651616,30.43860629308053,25.95515763773822,-0.20086265006984405
0.2,0.6,0.3,0.3,0.5,923.1473660474783,30.38334027139673,25.90656703371138,-0.19650590318686922
